index,date,latitude,longitude,humidity,vapor_pressure,temperature,precip,solar_radiation,pressure,wind_speed,wind_direction_degree,feels_like,wind_direction,wind_scale,code,text,power
3635,21,37.891586,115.144497,74.72379778670783,7.859533987860524,7.711279999999988,0.0,0.0,1021.2222425,0.1940925875,346.41420716570315,7.169482043024164,北西北,0,0,晴,0
3639,22,37.891586,115.144497,76.2214237031422,7.842351153733907,7.388962499999991,0.0,0.0,1021.5707975,0.2974564325,28.496460709516043,6.717916268681978,北东北,0,0,晴,0
3643,23,37.891586,115.144497,77.79180841871701,7.764332786548142,6.945747500000039,0.0,0.0,1021.6901125,0.19112874,12.412837277670748,6.303935630632872,北东北,0,0,晴,0
3647,0,37.891586,115.144497,80.18808488718227,7.59446082342184,6.184465000000046,0.0,0.0,1021.598625,0.1597123175,9.269984481569423,5.462334982970774,北,0,0,晴,0
3651,1,37.891586,115.144497,81.2206591692737,7.475600841003021,5.771870000000035,0.0,0.0,1021.3025,0.30910168,47.79017299644576,4.853892066198933,东北,1,0,晴,0
3655,2,37.891586,115.144497,83.5206950573091,7.138056786342154,4.707805000000008,0.0,0.0,1021.41855,0.2054581475,359.5679054473736,3.706477801102072,北,0,0,晴,0
3659,3,37.891586,115.144497,84.56921523192932,6.964845202872124,4.179590000000019,0.0,0.0,1021.414775,0.1273649675,338.7605078060503,3.1737082852777645,北西北,0,0,晴,0
3663,4,37.891586,115.144497,83.48469824288267,6.804820196495197,4.032590000000027,0.0,0.0,1021.231075,0.18654155,357.8210976756165,2.966204945977301,北,0,0,晴,0
3667,5,37.891586,115.144497,83.9522092091696,6.666788355481649,3.662552500000004,0.0,0.0,1021.030125,0.145283035,325.3413427351104,2.5840846074085944,西北,0,0,晴,0
3671,6,37.891586,115.144497,82.29411244522755,6.623827034494728,3.853737500000024,0.0,0.0,1020.936425,0.1467376075,5.291337471338181,2.8376109008460784,北,0,0,晴,0
3675,7,37.891586,115.144497,85.26431566295227,6.628425938753608,3.361440000000016,0.0,1.045619775,1020.990825,0.193694325,330.90082488235487,2.1571055193495665,北西北,0,0,晴,0
3679,8,37.891586,115.144497,86.14257737443192,7.186046252888277,4.362320000000068,0.0,80.708797425,1021.4672,0.13558757,5.183505553121051,3.335051244271222,北,0,0,晴,-675087
3683,9,37.891586,115.144497,70.20646694553214,7.30439360431831,7.551817500000027,0.0,243.006,1021.83883,0.1237173375,271.4009177523488,7.109446480563545,西,0,0,晴,-3386429
3687,10,37.891586,115.144497,48.75434791287548,6.583830530795384,11.427342500000009,0.0,416.7608875,1021.90286,0.2127847474999999,255.59842836561563,10.7034516518737,西西南,0,0,晴,-6730042
3691,11,37.891586,115.144497,35.37193197481728,6.1493083145195,15.299977500000011,0.0,519.73866,1021.4557,0.71531745,179.8562433703088,14.433309591647491,南,1,0,晴,-9147024
3695,12,37.891586,115.144497,30.552064417223484,5.886366097409078,16.91054250000002,0.0,543.54912,1020.604305,1.46890634,164.7553821138544,15.61412802494172,南东南,1,0,晴,-10477278
